Drug	pt	no_cases	total	prr
escitalopram	Prostatic operation	1	7	0.1428571429
escitalopram	Prostatic specific antigen increased	7	74	0.09459459459
escitalopram	Prostatitis	2	31	0.06451612903
escitalopram	Prostatomegaly	6	32	0.1875
escitalopram	Protein S decreased	1	1	1
escitalopram	Protein total abnormal	1	8	0.125
escitalopram	Protein total decreased	1	8	0.125
escitalopram	Protein total increased	1	8	0.125
escitalopram	Proteinuria	10	55	0.1818181818
escitalopram	Protein urine present	3	24	0.125
escitalopram	Prothrombin time prolonged	3	14	0.2142857143
escitalopram	Pruritus	386	3036	0.127140975
escitalopram	Pruritus generalised	18	215	0.08372093023
escitalopram	Pseudolymphoma	8	13	0.6153846154
escitalopram	Pseudomonal bacteraemia	1	8	0.125
escitalopram	Pseudomonas infection	12	53	0.2264150943
escitalopram	Pseudopolyposis	1	1	1
escitalopram	Psoas abscess	1	1	1
escitalopram	Psoriasis	235	2000	0.1175
escitalopram	Psoriatic arthropathy	95	805	0.1180124224
escitalopram	Psychiatric symptom	8	73	0.1095890411
escitalopram	Psychogenic seizure	2	37	0.05405405405
escitalopram	Psychological trauma	1	9	0.1111111111
escitalopram	Psychomotor hyperactivity	19	220	0.08636363636
escitalopram	Psychomotor retardation	9	114	0.07894736842
escitalopram	Psychomotor skills impaired	5	87	0.05747126437
escitalopram	Psychosexual disorder	7	8	0.875
escitalopram	Psychotic behaviour	1	8	0.125
escitalopram	Psychotic disorder	67	821	0.08160779537
escitalopram	Psychotic disorder due to a general medical condition	5	12	0.4166666667
escitalopram	Psychotic symptom	2	41	0.0487804878
escitalopram	Pulmonary alveolar haemorrhage	3	35	0.08571428571
escitalopram	Pulmonary arterial hypertension	12	97	0.1237113402
escitalopram	Pulmonary artery thrombosis	1	5	0.2
escitalopram	Pulmonary congestion	6	102	0.05882352941
escitalopram	Pulmonary embolism	200	1570	0.127388535
escitalopram	Pulmonary fibrosis	6	162	0.03703703704
escitalopram	Pulmonary function test abnormal	2	4	0.5
escitalopram	Pulmonary function test decreased	3	25	0.12
escitalopram	Pulmonary haemorrhage	8	55	0.1454545455
escitalopram	Pulmonary hypertension	13	115	0.1130434783
escitalopram	Pulmonary infarction	4	6	0.6666666667
escitalopram	Pulmonary mass	19	122	0.1557377049
escitalopram	Pulmonary nocardiosis	4	5	0.8
escitalopram	Pulmonary oedema	28	286	0.0979020979
escitalopram	Pulmonary pain	1	81	0.01234567901
escitalopram	Pulmonary sarcoidosis	2	12	0.1666666667
escitalopram	Pulmonary sepsis	2	31	0.06451612903
escitalopram	Pulmonary thrombosis	27	171	0.1578947368
escitalopram	Pulmonary toxicity	1	40	0.025
escitalopram	Pulmonary tuberculosis	2	14	0.1428571429
escitalopram	Pulmonary valve replacement	1	1	1
escitalopram	Pulmonary valve stenosis	3	6	0.5
escitalopram	Pulmonary vascular resistance abnormality	1	2	0.5
escitalopram	Pulmonary vasculitis	6	8	0.75
escitalopram	Pulpitis dental	3	11	0.2727272727
escitalopram	Pulse abnormal	2	5	0.4
escitalopram	Pulse absent	1	14	0.07142857143
escitalopram	Pulseless electrical activity	1	33	0.0303030303
escitalopram	Pupils unequal	20	35	0.5714285714
escitalopram	Purpura	22	157	0.1401273885
escitalopram	Pustular psoriasis	2	29	0.06896551724
escitalopram	Pyelonephritis	23	139	0.1654676259
escitalopram	Pyelonephritis acute	3	33	0.09090909091
escitalopram	Pyoderma gangrenosum	2	21	0.09523809524
escitalopram	Pyramidal tract syndrome	3	8	0.375
escitalopram	Pyrexia	220	1580	0.1392405063
escitalopram	Quality of life decreased	8	109	0.07339449541
escitalopram	Quarantine	2	2	1
escitalopram	Rabbit syndrome	24	40	0.6
escitalopram	Radial nerve palsy	3	13	0.2307692308
escitalopram	Radiculopathy	2	18	0.1111111111
escitalopram	Radioisotope scan abnormal	3	9	0.3333333333
escitalopram	Radiologically isolated syndrome	2	2	1
escitalopram	Radiotherapy to bone	2	2	1
escitalopram	Radius fracture	3	16	0.1875
escitalopram	Rapid eye movement sleep behaviour disorder	8	54	0.1481481481
escitalopram	Rapid eye movements sleep abnormal	2	21	0.09523809524
escitalopram	Rash	397	3577	0.1109868605
escitalopram	Rash erythematous	22	287	0.07665505226
escitalopram	Rash generalised	17	223	0.07623318386
escitalopram	Rash macular	35	253	0.1383399209
escitalopram	Rash maculo-papular	26	200	0.13
escitalopram	Rash maculovesicular	1	1	1
escitalopram	Rash morbilliform	1	17	0.05882352941
escitalopram	Rash papular	11	101	0.1089108911
escitalopram	Rash pruritic	56	555	0.1009009009
escitalopram	Rash pustular	2	29	0.06896551724
escitalopram	Raynaud's phenomenon	7	94	0.07446808511
escitalopram	Reaction to excipient	6	21	0.2857142857
escitalopram	Reactive gastropathy	2	2	1
escitalopram	Reactive psychosis	2	2	1
escitalopram	Reading disorder	2	14	0.1428571429
escitalopram	Rebound acid hypersecretion	8	119	0.06722689076
escitalopram	Rebound atopic dermatitis	1	4	0.25
escitalopram	Rebound eczema	1	8	0.125
escitalopram	Rebound effect	8	77	0.1038961039
escitalopram	Rebound psychosis	2	2	1
escitalopram	Recalled product	1	13	0.07692307692
escitalopram	Recalled product administered	4	38	0.1052631579
escitalopram	Rectal adenocarcinoma	2	8	0.25
escitalopram	Rectal cancer	4	40	0.1
escitalopram	Rectal haemorrhage	41	462	0.08874458874
escitalopram	Rectal prolapse	1	16	0.0625
escitalopram	Rectourethral fistula	1	2	0.5
escitalopram	Recurrent cancer	5	29	0.1724137931
escitalopram	Red blood cell abnormality	1	3	0.3333333333
escitalopram	Red blood cell burr cells present	1	1	1
escitalopram	Red blood cell count abnormal	1	9	0.1111111111
escitalopram	Red blood cell count decreased	17	138	0.1231884058
escitalopram	Red blood cell count increased	1	11	0.09090909091
escitalopram	Red blood cell sedimentation rate increased	4	42	0.09523809524
escitalopram	Red blood cells urine positive	1	4	0.25
escitalopram	Red cell distribution width increased	1	22	0.04545454545
escitalopram	Reduced facial expression	2	23	0.08695652174
escitalopram	Reflux gastritis	3	11	0.2727272727
escitalopram	Refraction disorder	1	6	0.1666666667
escitalopram	Refusal of treatment by patient	6	33	0.1818181818
escitalopram	Rehabilitation therapy	19	92	0.2065217391
escitalopram	Relapsing-remitting multiple sclerosis	2	21	0.09523809524
escitalopram	Remission not achieved	1	10	0.1
escitalopram	Renal abscess	1	4	0.25
escitalopram	Renal aplasia	1	9	0.1111111111
escitalopram	Renal artery stent placement	1	1	1
escitalopram	Renal atrophy	1	4	0.25
escitalopram	Renal cancer	2	72	0.02777777778
escitalopram	Renal cancer metastatic	3	6	0.5
escitalopram	Renal cancer stage IV	1	2	0.5
escitalopram	Renal cell carcinoma	2	27	0.07407407407
escitalopram	Renal colic	3	19	0.1578947368
escitalopram	Renal cyst	4	32	0.125
escitalopram	Renal disorder	35	327	0.1070336391
escitalopram	Renal disorder in pregnancy	1	1	1
escitalopram	Renal dysplasia	1	1	1
escitalopram	Renal failure	101	1170	0.08632478632
escitalopram	Renal failure acute	1	24	0.04166666667
escitalopram	Renal failure chronic	2	5	0.4
escitalopram	Renal function test abnormal	4	90	0.04444444444
escitalopram	Renal haemorrhage	5	15	0.3333333333
escitalopram	Renal hypertension	1	5	0.2
escitalopram	Renal impairment	46	615	0.07479674797
escitalopram	Renal injury	6	147	0.04081632653
escitalopram	Renal mass	4	24	0.1666666667
escitalopram	Renal neoplasm	2	13	0.1538461538
escitalopram	Renal pain	3	70	0.04285714286
escitalopram	Renal stone removal	1	6	0.1666666667
escitalopram	Renal transplant	2	28	0.07142857143
escitalopram	Renal tubular disorder	1	22	0.04545454545
escitalopram	Renal tubular injury	1	8	0.125
escitalopram	Renal tubular necrosis	9	60	0.15
escitalopram	Renal tumour excision	1	1	1
escitalopram	Renal vascular thrombosis	2	4	0.5
escitalopram	Renin increased	1	1	1
escitalopram	Respiration abnormal	2	60	0.03333333333
escitalopram	Respiratory acidosis	11	57	0.1929824561
escitalopram	Respiratory arrest	10	152	0.06578947368
escitalopram	Respiratory depression	7	626	0.01118210863
escitalopram	Respiratory disorder	28	203	0.1379310345
escitalopram	Respiratory disorder neonatal	8	60	0.1333333333
escitalopram	Respiratory distress	14	130	0.1076923077
escitalopram	Respiratory failure	43	456	0.09429824561
escitalopram	Respiratory rate decreased	2	26	0.07692307692
escitalopram	Respiratory rate increased	11	26	0.4230769231
escitalopram	Respiratory symptom	2	21	0.09523809524
escitalopram	Respiratory syncytial virus infection	8	82	0.09756097561
escitalopram	Respiratory tract congestion	6	56	0.1071428571
escitalopram	Respiratory tract infection	59	374	0.1577540107
escitalopram	Respiratory tract infection bacterial	2	5	0.4
escitalopram	Respiratory tract infection viral	2	27	0.07407407407
escitalopram	Resting tremor	1	16	0.0625
escitalopram	Restless legs syndrome	37	620	0.05967741935
escitalopram	Restlessness	46	412	0.1116504854
escitalopram	Retching	27	141	0.1914893617
escitalopram	Retinal artery embolism	1	2	0.5
escitalopram	Retinal artery occlusion	3	17	0.1764705882
escitalopram	Retinal degeneration	1	20	0.05
escitalopram	Retinal detachment	8	259	0.03088803089
escitalopram	Retinal disorder	1	16	0.0625
escitalopram	Retinal drusen	1	7	0.1428571429
escitalopram	Retinal haemorrhage	1	29	0.03448275862
escitalopram	Retinal pigmentation	12	103	0.1165048544
escitalopram	Retinal pigment epitheliopathy	1	8	0.125
escitalopram	Retinal tear	2	33	0.06060606061
escitalopram	Retinal toxicity	3	14	0.2142857143
escitalopram	Retinal vasculitis	4	13	0.3076923077
escitalopram	Retinal vein occlusion	8	52	0.1538461538
escitalopram	Retinopathy hypertensive	1	4	0.25
escitalopram	Retrognathia	3	3	1
escitalopram	Retrograde ejaculation	3	34	0.08823529412
escitalopram	Retroperitoneal fibrosis	3	17	0.1764705882
escitalopram	Retroperitoneal haematoma	4	27	0.1481481481
escitalopram	Retroperitoneal mass	1	1	1
escitalopram	Retroplacental haematoma	3	14	0.2142857143
escitalopram	Reversed hot-cold sensation	1	2	0.5
escitalopram	Reversible airways obstruction	11	118	0.09322033898
escitalopram	Reversible cerebral vasoconstriction syndrome	99	501	0.1976047904
escitalopram	Rhabdomyolysis	46	561	0.08199643494
escitalopram	Rheumatic disorder	1	11	0.09090909091
escitalopram	Rheumatoid arthritis	70	957	0.07314524556
escitalopram	Rheumatoid nodule	2	26	0.07692307692
escitalopram	Rhinitis	10	57	0.1754385965
escitalopram	Rhinorrhoea	33	295	0.1118644068
escitalopram	Rhinovirus infection	6	29	0.2068965517
escitalopram	Rhonchi	2	2	1
escitalopram	Rhythm idioventricular	1	1	1
escitalopram	Rib fracture	22	195	0.1128205128
escitalopram	Right ventricular dilatation	1	1	1
escitalopram	Right ventricular dysfunction	1	5	0.2
escitalopram	Right ventricular failure	1	25	0.04
escitalopram	Right ventricular systolic pressure increased	1	5	0.2
escitalopram	Road traffic accident	53	458	0.115720524
escitalopram	Rosacea	5	47	0.1063829787
escitalopram	Rotator cuff repair	4	39	0.1025641026
escitalopram	Rotator cuff syndrome	17	136	0.125
escitalopram	Routine health maintenance	1	1	1
escitalopram	Ruptured cerebral aneurysm	1	8	0.125
escitalopram	Sacral pain	1	15	0.06666666667
escitalopram	Saliva discolouration	4	12	0.3333333333
escitalopram	Salivary duct obstruction	2	2	1
escitalopram	Salivary gland calculus	1	4	0.25
escitalopram	Salivary gland disorder	1	2	0.5
escitalopram	Salivary gland mucocoele	2	4	0.5
escitalopram	Salivary hypersecretion	7	112	0.0625
escitalopram	Salmonellosis	3	12	0.25
escitalopram	Salpingitis	1	1	1
escitalopram	Salpingo-oophorectomy	1	2	0.5
escitalopram	Salpingo-oophorectomy bilateral	1	2	0.5
escitalopram	Salt craving	1	2	0.5
escitalopram	SARS-CoV-2 test negative	1	12	0.08333333333
escitalopram	SARS-CoV-2 test positive	37	282	0.1312056738
escitalopram	Scab	7	28	0.25
escitalopram	Scar	6	65	0.09230769231
escitalopram	Scedosporium infection	1	1	1
escitalopram	Schizoaffective disorder	3	27	0.1111111111
escitalopram	Schizophrenia	7	242	0.02892561983
escitalopram	Sciatica	19	118	0.1610169492
escitalopram	Scleral disorder	2	2	1
escitalopram	Scleral haemorrhage	2	7	0.2857142857
escitalopram	Scleroderma	1	15	0.06666666667
escitalopram	Scleroderma-like reaction	1	1	1
escitalopram	Scoliosis	2	22	0.09090909091
escitalopram	Scratch	2	35	0.05714285714
escitalopram	Screaming	1	16	0.0625
escitalopram	Scrotal erythema	1	1	1
escitalopram	Seasonal affective disorder	3	12	0.25
escitalopram	Seasonal allergy	32	281	0.1138790036
escitalopram	Seborrhoea	1	8	0.125
escitalopram	Seborrhoeic dermatitis	1	25	0.04
escitalopram	Secondary adrenocortical insufficiency	4	15	0.2666666667
escitalopram	Secondary immunodeficiency	2	15	0.1333333333
escitalopram	Second primary malignancy	5	22	0.2272727273
escitalopram	Secretion discharge	9	59	0.1525423729
escitalopram	Sedation	48	1427	0.0336370007
escitalopram	Sedation complication	4	324	0.01234567901
escitalopram	Seizure	266	2931	0.09075400887
escitalopram	Seizure like phenomena	1	35	0.02857142857
escitalopram	Selective eating disorder	2	15	0.1333333333
escitalopram	Self esteem decreased	2	7	0.2857142857
escitalopram	Self injurious behaviour	2	12	0.1666666667
escitalopram	Self-injurious ideation	11	112	0.09821428571
escitalopram	Semen discolouration	1	17	0.05882352941
escitalopram	Semen volume decreased	2	6	0.3333333333
escitalopram	Senile dementia	1	9	0.1111111111
escitalopram	Sensation of blood flow	1	2	0.5
escitalopram	Sensation of foreign body	5	64	0.078125
escitalopram	Sense of oppression	1	5	0.2
escitalopram	Sensitive skin	7	43	0.1627906977
escitalopram	Sensitivity to weather change	1	36	0.02777777778
escitalopram	Sensory disturbance	5	90	0.05555555556
escitalopram	Sensory loss	5	100	0.05
escitalopram	Separation anxiety disorder	1	1	1
escitalopram	Sepsis	99	901	0.1098779134
escitalopram	Sepsis neonatal	1	7	0.1428571429
escitalopram	Septic shock	17	191	0.0890052356
escitalopram	Seroma	1	7	0.1428571429
escitalopram	Serotonin syndrome	242	3465	0.06984126984
escitalopram	Serous retinal detachment	1	2	0.5
escitalopram	Serratia infection	1	2	0.5
escitalopram	Serum ferritin decreased	2	15	0.1333333333
escitalopram	Serum serotonin	5	5	1
escitalopram	Serum serotonin decreased	1	4	0.25
escitalopram	Serum sickness	3	20	0.15
escitalopram	Sexual dysfunction	79	430	0.1837209302
escitalopram	Sexually inappropriate behaviour	5	42	0.119047619
escitalopram	Shock	18	98	0.1836734694
escitalopram	Shock haemorrhagic	6	78	0.07692307692
escitalopram	Short-bowel syndrome	1	12	0.08333333333
escitalopram	Short stature	1	4	0.25
escitalopram	Shoulder arthroplasty	2	47	0.04255319149
escitalopram	Shoulder fracture	2	13	0.1538461538
escitalopram	Shoulder operation	12	111	0.1081081081
escitalopram	Shunt thrombosis	1	3	0.3333333333
escitalopram	Sialoadenitis	16	35	0.4571428571
escitalopram	Sickle cell anaemia with crisis	10	111	0.09009009009
escitalopram	Silent myocardial infarction	1	1	1
escitalopram	Simple partial seizures	1	10	0.1
escitalopram	Single umbilical artery	1	8	0.125
escitalopram	Sinus arrest	2	6	0.3333333333
escitalopram	Sinus bradycardia	16	132	0.1212121212
escitalopram	Sinus congestion	8	70	0.1142857143
escitalopram	Sinus disorder	13	176	0.07386363636
escitalopram	Sinus headache	6	39	0.1538461538
escitalopram	Sinusitis	204	1885	0.1082228117
escitalopram	Sinusitis bacterial	5	15	0.3333333333
escitalopram	Sinus operation	6	60	0.1
escitalopram	Sinus polyp	2	5	0.4
escitalopram	Sinus rhythm	1	2	0.5
escitalopram	Sinus tachycardia	4	132	0.0303030303
escitalopram	Sjogren's syndrome	6	51	0.1176470588
escitalopram	Skeletal injury	2	13	0.1538461538
escitalopram	Skin abrasion	2	24	0.08333333333
escitalopram	Skin atrophy	2	15	0.1333333333
escitalopram	Skin burning sensation	19	157	0.1210191083
escitalopram	Skin cancer	27	239	0.1129707113
escitalopram	Skin candida	1	20	0.05
escitalopram	Skin discolouration	23	205	0.112195122
escitalopram	Skin disorder	14	138	0.1014492754
escitalopram	Skin erosion	2	6	0.3333333333
escitalopram	Skin exfoliation	48	282	0.170212766
escitalopram	Skin fissures	7	69	0.1014492754
escitalopram	Skin graft	2	5	0.4
escitalopram	Skin haemorrhage	9	44	0.2045454545
escitalopram	Skin hyperpigmentation	1	25	0.04
escitalopram	Skin hypertrophy	1	2	0.5
escitalopram	Skin infection	9	109	0.08256880734
escitalopram	Skin injury	1	11	0.09090909091
escitalopram	Skin irritation	13	74	0.1756756757
escitalopram	Skin laceration	9	132	0.06818181818
escitalopram	Skin lesion	17	146	0.1164383562
escitalopram	Skin mass	2	28	0.07142857143
escitalopram	Skin necrosis	2	29	0.06896551724
escitalopram	Skin odour abnormal	2	40	0.05
escitalopram	Skin operation	1	2	0.5
escitalopram	Skin plaque	3	30	0.1
escitalopram	Skin reaction	8	85	0.09411764706
escitalopram	Skin squamous cell carcinoma recurrent	1	5	0.2
escitalopram	Skin swelling	3	27	0.1111111111
escitalopram	Skin tightness	1	7	0.1428571429
escitalopram	Skin ulcer	18	156	0.1153846154
escitalopram	Skin warm	1	20	0.05
escitalopram	Skin wound	3	14	0.2142857143
escitalopram	Skin wrinkling	2	13	0.1538461538
escitalopram	Skull fracture	4	13	0.3076923077
escitalopram	Sleep apnoea syndrome	104	1070	0.09719626168
escitalopram	Sleep attacks	1	8	0.125
escitalopram	Sleep deficit	6	47	0.1276595745
escitalopram	Sleep disorder	91	770	0.1181818182
escitalopram	Sleep disorder due to a general medical condition	14	148	0.09459459459
escitalopram	Sleep inertia	1	1	1
escitalopram	Sleep paralysis	5	54	0.09259259259
escitalopram	Sleep-related eating disorder	1	86	0.01162790698
escitalopram	Sleep talking	3	22	0.1363636364
escitalopram	Sleep terror	21	130	0.1615384615
escitalopram	Sleeve gastrectomy	1	5	0.2
escitalopram	Slow response to stimuli	1	12	0.08333333333
escitalopram	Slow speech	1	27	0.03703703704
escitalopram	Sluggishness	5	61	0.08196721311
escitalopram	Small cell lung cancer metastatic	1	10	0.1
escitalopram	Small fibre neuropathy	2	20	0.1
escitalopram	Small for dates baby	24	173	0.1387283237
escitalopram	Small intestinal haemorrhage	1	17	0.05882352941
escitalopram	Small intestinal obstruction	18	219	0.08219178082
escitalopram	Small intestinal resection	1	9	0.1111111111
escitalopram	Small intestine carcinoma	4	8	0.5
escitalopram	Sneezing	12	63	0.1904761905
escitalopram	Snoring	4	60	0.06666666667
escitalopram	Social anxiety disorder	5	7	0.7142857143
escitalopram	Social avoidant behaviour	4	28	0.1428571429
escitalopram	Sodium retention	1	2	0.5
escitalopram	Soft tissue disorder	3	7	0.4285714286
escitalopram	Soft tissue infection	2	5	0.4
escitalopram	Soft tissue mass	1	1	1
escitalopram	Soft tissue necrosis	1	2	0.5
escitalopram	Soft tissue neoplasm	1	5	0.2
escitalopram	Soft tissue swelling	1	2	0.5
escitalopram	Solar lentigo	1	5	0.2
escitalopram	Soliloquy	1	8	0.125
escitalopram	Somatic symptom disorder	3	32	0.09375
escitalopram	Somnambulism	17	140	0.1214285714
escitalopram	Somnolence	259	2728	0.09494134897
escitalopram	Sopor	77	761	0.1011826544
escitalopram	Speech disorder	21	352	0.05965909091
escitalopram	Sperm concentration decreased	3	7	0.4285714286
escitalopram	Spina bifida	1	7	0.1428571429
escitalopram	Spinal column stenosis	2	17	0.1176470588
escitalopram	Spinal compression fracture	9	65	0.1384615385
escitalopram	Spinal cord compression	5	32	0.15625
escitalopram	Spinal cord drainage	1	1	1
escitalopram	Spinal cord injury	3	13	0.2307692308
escitalopram	Spinal deformity	1	9	0.1111111111
escitalopram	Spinal disorder	11	89	0.1235955056
escitalopram	Spinal fracture	17	144	0.1180555556
escitalopram	Spinal fusion surgery	12	88	0.1363636364
escitalopram	Spinal operation	27	326	0.08282208589
escitalopram	Spinal osteoarthritis	3	54	0.05555555556
escitalopram	Spinal pain	8	59	0.1355932203
escitalopram	Spinal stenosis	8	51	0.1568627451
escitalopram	Spinal vascular disorder	1	1	1
escitalopram	Spinocerebellar ataxia	2	2	1
escitalopram	Spinocerebellar disorder	1	7	0.1428571429
escitalopram	Spirometry abnormal	35	39	0.8974358974
escitalopram	Splenectomy	1	5	0.2
escitalopram	Splenic rupture	1	11	0.09090909091
escitalopram	Splenomegaly	4	32	0.125
escitalopram	Splinter	1	5	0.2
escitalopram	Spondylitis	8	25	0.32
escitalopram	Spondyloarthropathy	6	10	0.6
escitalopram	Spondylolisthesis	2	14	0.1428571429
escitalopram	Spontaneous haematoma	6	18	0.3333333333
escitalopram	Sprue-like enteropathy	2	19	0.1052631579
escitalopram	Sputum culture	2	2	1
escitalopram	Sputum culture positive	3	4	0.75
escitalopram	Sputum discoloured	3	45	0.06666666667
escitalopram	Squamous cell carcinoma	20	193	0.103626943
escitalopram	Squamous cell carcinoma of head and neck	1	5	0.2
escitalopram	Squamous cell carcinoma of lung	3	17	0.1764705882
escitalopram	Squamous cell carcinoma of skin	13	116	0.1120689655
escitalopram	Squamous cell carcinoma of the oral cavity	2	10	0.2
escitalopram	Staphylococcal bacteraemia	2	34	0.05882352941
escitalopram	Staphylococcal infection	25	313	0.07987220447
escitalopram	Staphylococcal sepsis	1	33	0.0303030303
escitalopram	Staphylococcal skin infection	3	13	0.2307692308
escitalopram	Staphylococcus test positive	1	4	0.25
escitalopram	Staring	1	10	0.1
escitalopram	Status epilepticus	15	243	0.06172839506
escitalopram	Status migrainosus	3	16	0.1875
escitalopram	Stem cell transplant	1	21	0.04761904762
escitalopram	Stenosis	2	6	0.3333333333
escitalopram	Stent placement	3	40	0.075
escitalopram	Steroid dependence	3	4	0.75
escitalopram	Stevens-Johnson syndrome	31	313	0.09904153355
escitalopram	Sticky skin	1	2	0.5
escitalopram	Stiff person syndrome	14	57	0.2456140351
escitalopram	Stillbirth	7	34	0.2058823529
escitalopram	Stoma complication	3	21	0.1428571429
escitalopram	Stoma creation	1	5	0.2
escitalopram	Stoma obstruction	1	7	0.1428571429
escitalopram	Stoma site discharge	9	34	0.2647058824
escitalopram	Stoma site erythema	2	16	0.125
escitalopram	Stoma site extravasation	1	2	0.5
escitalopram	Stoma site haemorrhage	4	22	0.1818181818
escitalopram	Stoma site hypergranulation	2	11	0.1818181818
escitalopram	Stoma site infection	2	30	0.06666666667
escitalopram	Stoma site reaction	1	4	0.25
escitalopram	Stomatitis	39	335	0.1164179104
escitalopram	Strabismus	2	12	0.1666666667
escitalopram	Streptococcal bacteraemia	1	11	0.09090909091
escitalopram	Streptococcal endocarditis	2	3	0.6666666667
escitalopram	Streptococcal infection	5	33	0.1515151515
escitalopram	Streptococcal sepsis	7	19	0.3684210526
escitalopram	Stress	75	534	0.1404494382
escitalopram	Stress at work	1	8	0.125
escitalopram	Stress cardiomyopathy	13	196	0.06632653061
escitalopram	Stress fracture	2	26	0.07692307692
escitalopram	Stroke in evolution	1	6	0.1666666667
escitalopram	Stupor	2	31	0.06451612903
escitalopram	Subacute cutaneous lupus erythematosus	10	59	0.1694915254
escitalopram	Subarachnoid haemorrhage	6	195	0.03076923077
escitalopram	Subcapsular splenic haematoma	2	2	1
escitalopram	Subchondral insufficiency fracture	1	3	0.3333333333
escitalopram	Subcutaneous abscess	10	26	0.3846153846
escitalopram	Subcutaneous haematoma	2	11	0.1818181818
escitalopram	Subdural haematoma	48	353	0.1359773371
escitalopram	Subdural haematoma evacuation	1	3	0.3333333333
escitalopram	Subdural haemorrhage	1	32	0.03125
escitalopram	Subdural hygroma	2	2	1
escitalopram	Substance abuse	22	340	0.06470588235
escitalopram	Substance-induced mood disorder	1	1	1
escitalopram	Substance-induced psychotic disorder	4	71	0.05633802817
escitalopram	Substance use	4	47	0.08510638298
escitalopram	Sudden cardiac death	10	123	0.08130081301
escitalopram	Sudden death	26	355	0.07323943662
escitalopram	Sudden hearing loss	2	25	0.08
escitalopram	Sudden onset of sleep	2	18	0.1111111111
escitalopram	Suicidal behaviour	14	169	0.08284023669
escitalopram	Suicidal ideation	307	3174	0.09672337744
escitalopram	Suicide attempt	246	2118	0.1161473088
escitalopram	Sunburn	2	46	0.04347826087
escitalopram	Superficial inflammatory dermatosis	1	1	1
escitalopram	Superficial injury of eye	2	10	0.2
escitalopram	Superficial vein thrombosis	3	16	0.1875
escitalopram	Superinfection	1	6	0.1666666667
escitalopram	Superior sagittal sinus thrombosis	11	14	0.7857142857
escitalopram	Suppressed lactation	2	25	0.08
escitalopram	Supraventricular extrasystoles	4	16	0.25
escitalopram	Supraventricular tachycardia	6	129	0.04651162791
escitalopram	Surgery	154	1457	0.1056966369
escitalopram	Surgical failure	1	3	0.3333333333
escitalopram	Suspected counterfeit product	1	13	0.07692307692
escitalopram	Suspected COVID-19	6	48	0.125
escitalopram	Suspected product quality issue	4	18	0.2222222222
escitalopram	Suspected suicide	92	1377	0.06681190995
escitalopram	Suspected suicide attempt	1	20	0.05
escitalopram	Suture insertion	1	4	0.25
escitalopram	Sweating fever	2	4	0.5
escitalopram	Swelling	26	399	0.06516290727
escitalopram	Swelling face	48	525	0.09142857143
escitalopram	Swelling of eyelid	5	44	0.1136363636
escitalopram	Swollen joint count	2	2	1
escitalopram	Swollen tongue	44	633	0.06951026856
escitalopram	Symmetrical drug-related intertriginous and flexural exanthema	1	5	0.2
escitalopram	Sympathomimetic effect	1	5	0.2
escitalopram	Symptom recurrence	15	104	0.1442307692
escitalopram	Syncope	94	1048	0.08969465649
escitalopram	Synostosis	1	1	1
escitalopram	Synovial cyst	9	38	0.2368421053
escitalopram	Synovial rupture	1	1	1
escitalopram	Synovitis	3	53	0.05660377358
escitalopram	Syphilis	5	14	0.3571428571
escitalopram	Syringe issue	1	31	0.03225806452
escitalopram	Systemic infection	6	44	0.1363636364
escitalopram	Systemic inflammatory response syndrome	5	31	0.1612903226
escitalopram	Systemic lupus erythematosus	15	236	0.06355932203
escitalopram	Systemic lupus erythematosus rash	1	7	0.1428571429
escitalopram	Systemic mastocytosis	1	2	0.5
escitalopram	Systemic mycosis	1	7	0.1428571429
escitalopram	Systolic hypertension	1	3	0.3333333333
escitalopram	Tachycardia	62	693	0.08946608947
escitalopram	Tachyphrenia	12	69	0.1739130435
escitalopram	Tachypnoea	4	70	0.05714285714
escitalopram	Talipes	19	49	0.387755102
escitalopram	Tardive dyskinesia	64	678	0.09439528024
escitalopram	Taste disorder	14	202	0.06930693069
escitalopram	Teeth brittle	2	9	0.2222222222
escitalopram	Telangiectasia	6	23	0.2608695652
escitalopram	Temperature intolerance	6	47	0.1276595745
escitalopram	Temperature regulation disorder	2	67	0.02985074627
escitalopram	Temporomandibular joint surgery	1	1	1
escitalopram	Temporomandibular joint syndrome	3	43	0.06976744186
escitalopram	Tenderness	6	66	0.09090909091
escitalopram	Tendon disorder	4	38	0.1052631579
escitalopram	Tendon injury	3	13	0.2307692308
escitalopram	Tendonitis	18	102	0.1764705882
escitalopram	Tendon pain	1	33	0.0303030303
escitalopram	Tendon rupture	13	140	0.09285714286
escitalopram	Tenoplasty	2	6	0.3333333333
escitalopram	Tenosynovitis	1	7	0.1428571429
escitalopram	Tenotomy	1	1	1
escitalopram	Tension	3	40	0.075
escitalopram	Tension headache	3	42	0.07142857143
escitalopram	Terminal insomnia	1	47	0.02127659574
escitalopram	Terminal state	2	41	0.0487804878
escitalopram	Testicular disorder	1	5	0.2
escitalopram	Testicular embryonal carcinoma stage III	1	1	1
escitalopram	Testicular pain	3	27	0.1111111111
escitalopram	Testicular swelling	1	4	0.25
escitalopram	Testis cancer	4	23	0.1739130435
escitalopram	Therapeutic drug monitoring analysis not performed	4	14	0.2857142857
escitalopram	Therapeutic procedure	3	29	0.1034482759
escitalopram	Therapeutic product effect decreased	54	587	0.09199318569
escitalopram	Therapeutic product effect delayed	2	48	0.04166666667
